country_name,overall_rank,score,2019_population
Finland,1,7.77,5520314
Denmark,2,7.6,5818553
Norway,3,7.55,5347896
Iceland,4,7.49,361313
Netherlands,5,7.49,17332850
Switzerland,6,7.48,8574832
Sweden,7,7.34,10285453
New Zealand,8,7.31,4917000
Canada,9,7.28,37589262
Austria,10,7.25,8877067
Australia,11,7.23,25364307
Costa Rica,12,7.17,5047561
Israel,13,7.14,9053300
Luxembourg,14,7.09,619896
United Kingdom,15,7.05,66834405
Ireland,16,7.02,4941444
Germany,17,6.99,83132799
Belgium,18,6.92,11484055
United States,19,6.89,328239523
Czech Republic,20,6.85,10669709
United Arab Emirates,21,6.83,9770529
Malta,22,6.73,502653
Mexico,23,6.6,127575529
France,24,6.59,67059887
Taiwan,25,6.45,NULL
Chile,26,6.44,18952038
Guatemala,27,6.44,16604026
Saudi Arabia,28,6.38,34268528
Qatar,29,6.37,2832067
Spain,30,6.35,47076781
Panama,31,6.32,4246439
Brazil,32,6.3,211049527
Uruguay,33,6.29,3461734
Singapore,34,6.26,5703569
El Salvador,35,6.25,6453553
Italy,36,6.22,60297396
Bahrain,37,6.2,1641172
Slovakia,38,6.2,NULL
Trinidad & Tobago,39,6.19,NULL
Poland,40,6.18,37970874
Uzbekistan,41,6.17,33580650
Lithuania,42,6.15,2786844
Colombia,43,6.13,50339443
Slovenia,44,6.12,2087946
Nicaragua,45,6.11,6545502
Kosovo,46,6.1,1794248
Argentina,47,6.09,44938712
Romania,48,6.07,19356544
Cyprus,49,6.05,1198575
Ecuador,50,6.03,17373662
Kuwait,51,6.02,4207083
Thailand,52,6.01,69625582
Latvia,53,5.94,1912789
South Korea,54,5.9,NULL
Estonia,55,5.89,1326590
Jamaica,56,5.89,2948279
Mauritius,57,5.89,1265711
Japan,58,5.89,126264931
Honduras,59,5.86,9746117
Kazakhstan,60,5.81,18513930
Bolivia,61,5.78,11513100
Hungary,62,5.76,9769949
Paraguay,63,5.74,7044636
Northern Cyprus,64,5.72,NULL
Peru,65,5.7,32510453
Portugal,66,5.69,10269417
Pakistan,67,5.65,216565318
Russia,68,5.65,NULL
Philippines,69,5.63,108116615
Serbia,70,5.6,6944975
Moldova,71,5.53,2657637
Libya,72,5.53,6777452
Montenegro,73,5.52,622137
Tajikistan,74,5.47,9321018
Croatia,75,5.43,4067500
Hong Kong,76,5.43,NULL
Dominican Republic,77,5.43,10738958
Bosnia and Herzegovina,78,5.39,3301000
Turkey,79,5.37,83429615
Malaysia,80,5.34,31949777
Belarus,81,5.32,9466856
Greece,82,5.29,10716322
Mongolia,83,5.29,3225167
North Macedonia,84,5.27,2083459
Nigeria,85,5.27,200963599
Kyrgyzstan,86,5.26,NULL
Turkmenistan,87,5.25,5942089
Algeria,88,5.21,43053054
Morocco,89,5.21,36471769
Azerbaijan,90,5.21,10023318
Lebanon,91,5.2,6855713
Indonesia,92,5.19,270625568
China,93,5.19,1397715000
Vietnam,94,5.18,96462106
Bhutan,95,5.08,763092
Cameroon,96,5.04,25876380
Bulgaria,97,5.01,6975761
Ghana,98,5,30417856
Ivory Coast,99,4.94,NULL
Nepal,100,4.91,28608710
Jordan,101,4.91,10101694
Benin,102,4.88,11801151
Congo (Brazzaville),103,4.81,NULL
Gabon,104,4.8,2172579
Laos,105,4.8,NULL
South Africa,106,4.72,58558270
Albania,107,4.72,2854191
Venezuela,108,4.71,NULL
Cambodia,109,4.7,16486542
Palestinian Territories,110,4.7,NULL
Senegal,111,4.68,16296364
Somalia,112,4.67,15442905
Namibia,113,4.64,2494530
Niger,114,4.63,23310715
Burkina Faso,115,4.59,20321378
Armenia,116,4.56,2957731
Iran,117,4.55,NULL
Guinea,118,4.53,12771246
Georgia,119,4.52,3720382
Gambia,120,4.52,NULL
Kenya,121,4.51,52573973
Mauritania,122,4.49,4525696
Mozambique,123,4.47,30366036
Tunisia,124,4.46,11694719
Bangladesh,125,4.46,163046161
Iraq,126,4.44,39309783
Congo (Kinshasa),127,4.42,NULL
Mali,128,4.39,19658031
Sierra Leone,129,4.37,7813215
Sri Lanka,130,4.37,21803000
Myanmar,131,4.36,54045420
Chad,132,4.35,15946876
Ukraine,133,4.33,44385155
Ethiopia,134,4.29,112078730
Swaziland,135,4.21,NULL
Uganda,136,4.19,44269594
Egypt,137,4.17,NULL
Zambia,138,4.11,17861030
Togo,139,4.09,8082366
India,140,4.02,1366417754
Liberia,141,3.98,4937374
Comoros,142,3.97,850886
Madagascar,143,3.93,26969307
Lesotho,144,3.8,2125268
Burundi,145,3.78,11530580
Zimbabwe,146,3.66,14645468
Haiti,147,3.6,11263077
Botswana,148,3.49,2303697
Syria,149,3.46,NULL
Malawi,150,3.41,18628747
Yemen,151,3.38,NULL
Rwanda,152,3.33,12626950
Tanzania,153,3.23,58005463
Afghanistan,154,3.2,38041754
Central African Republic,155,3.08,4745185
South Sudan,156,2.85,11062113
